,Name,UB,CP,Gap,CP_Time,MIP,Gap.1,MIP_Time,Heuristic,Gap.2,Heuristic_Time,Hybrid,Gap.3,Hybrid_Time,grasp,runtime,Gap_grasp,instance
64,,330.46875,308.59375,4.15625,196954.484375,294.296875,7.1875,149142.078125,289.84375,8.96875,22.75,296.640625,6.875,100709.5625,301.640625,13186.084895833334,5.708210257290343,A
65,opt,0.0,0.0,40.0,0.0,0.0,37.0,0.0,0.0,30.0,10.0,0.0,35.0,0.0,0.0,0.0,35.0,0
