WEEK;DATE;ORDER_ID;PROD_NBR;CUST_NBR;t1;t2;QUANTITY;DRIVER_NBR;TRUCK_NBR
40;2020-10-01;924996;3020P;104741;144,98666666666668;144,98666666666668;31,5;4;4
40;2020-10-01;924996;3020RP;104741;36,24666666666667;36,24666666666667;3,5;1;1
40;2020-10-01;925058;3520RPC1;104686;571,2416666666666;571,2416666666666;33,0;5;5
40;2020-10-01;925059;3020RP;104686;571,2416666666666;571,2416666666666;40,0;5;5
40;2020-10-01;925060;3520RPC1;104686;456,9933333333333;456,9933333333333;19,0;4;4
40;2020-10-01;925119;REM3SECANT;104706;252,7;252,7;39,0;6;6
40;2020-10-01;925120;REM3SECANT;104706;294,81666666666666;294,81666666666666;48,5;7;7
40;2020-10-01;925122;REM3SECANT;104706;336,93333333333334;336,93333333333334;49,0;8;8
40;2020-10-01;925215;3220RP;104704;78,86333333333332;78,86333333333332;12,0;2;2
40;2020-10-01;925270;2510PBR;103929;214,84499999999997;214,84499999999997;21,0;3;3
40;2020-10-01;925296;2010RPSC;102740;33,505;33,505;3,0;1;1
40;2020-10-01;925411;3014PBR;COD;37,50666666666667;37,50666666666667;6,0;1;1
40;2020-10-01;925427;3514RP;101386;25,616666666666667;25,616666666666667;15,0;2;2
40;2020-10-01;925432;3214RPBR;102893;282,985;282,985;31,0;3;3
40;2020-10-01;925493;2514PBR;COD;56,718333333333334;56,718333333333334;6,5;1;1
40;2020-10-01;925548;REM2C-M1;104686;474,46;474,46;26,0;4;4
40;2020-10-01;925561;3020RP;102625;205,875;205,875;40,0;5;5
40;2020-10-01;925561;3520RP;102625;41,175;41,175;7,0;1;1
40;2020-10-01;925571;2520P;010875;102,16666666666667;102,16666666666667;5,0;1;1
40;2020-10-01;925604;3220R;104681;82,73333333333333;82,73333333333333;8,0;1;1
40;2020-10-01;925645;MTQ15;070149;35,49;35,49;21,0;3;3
40;2020-10-01;925645;MTQ5S;070149;23,66;23,66;10,5;2;2
40;2020-10-01;925654;2020P;104268;133,41833333333335;139,20333333333335;15,5;2;2
40;2020-10-01;925675;2510RPSC;104123;46,65166666666667;46,65166666666667;3,0;1;1
40;2020-10-01;925730;2510R;102740;34,019999999999996;34,019999999999996;2,5;1;1
40;2020-10-01;925742;3520RPC1;103762;110,46000000000001;110,46000000000001;36,0;4;4
40;2020-10-01;925815;2520R;001460;113,35666666666665;113,35666666666665;2,0;1;1
40;2020-10-01;925817;5005PMOR;104686;40,01833333333334;40,01833333333334;1,0;1;1
40;2020-10-01;925817;REM6A;104686;40,01833333333334;40,01833333333334;6,0;1;1
40;2020-10-01;925833;3220RVM;103685;364,7683333333333;267,20166666666665;70,0;7;7
40;2020-10-01;925860;2514RPBR;100333;67,01;67,01;24,0;2;2
40;2020-10-01;925860;3214RPBR;100333;33,505;33,505;12,0;1;1
