WEEK;DATE;TRUCK_NBR;DRIVER_NBR;ORDER_ID;BEGIN;END;t1;t2;QUANTITY
40;2020-10-01;138;15614,0;925833;09:30:15;18:04:39;122,735;38,17166666666667;8,0
40;2020-10-01;143;15605,0;923328;07:35:20;00:57:01;35,75666666666666;35,75666666666666;6,5
40;2020-10-01;143;15605,0;925296;07:35:20;00:57:01;33,505;33,505;3,0
40;2020-10-01;148;15415,0;923345;09:09:30;16:34:06;77,78999999999999;77,78999999999999;16,0
40;2020-10-01;148;15415,0;924946;09:09:30;16:34:06;44,641666666666666;44,641666666666666;8,0
40;2020-10-01;150;15457,0;923988;08:47:50;14:53:31;118,615;118,615;5,0
40;2020-10-01;150;15457,0;925059;08:47:50;14:53:31;114,24833333333332;114,24833333333332;8,0
40;2020-10-01;150;15457,0;925060;08:47:50;14:53:31;114,24833333333332;114,24833333333332;7,0
40;2020-10-01;155;15547,0;925058;09:10:57;16:52:12;114,24833333333332;114,24833333333332;8,0
40;2020-10-01;155;15547,0;925899;09:10:57;16:52:12;87,26833333333335;87,26833333333335;4,5
40;2020-10-01;155;15547,0;926172;09:10:57;16:52:12;87,26833333333335;87,26833333333335;2,5
40;2020-10-01;157;7000038,0;921577;08:33:05;17:42:02;103,15333333333334;103,15333333333334;12,0
40;2020-10-01;157;7000038,0;924154;08:33:05;17:42:02;103,15333333333334;103,15333333333334;16,0
40;2020-10-01;158;15277,0;921362;08:47:15;20:14:47;21,31;21,31;16,0
40;2020-10-01;158;15277,0;922328;08:47:15;20:14:47;12,25;12,25;8,0
40;2020-10-01;158;15277,0;926008;08:47:15;20:14:47;44,76499999999999;44,76499999999999;2,0
40;2020-10-01;183;15612,0;923328;07:38:02;14:30:11;71,51333333333332;71,51333333333332;15,0
40;2020-10-01;183;15612,0;926054;07:38:02;14:30:11;82,81166666666668;82,81166666666668;1,5
40;2020-10-01;185;7000041,0;922232;09:44:03;16:18:58;87,26833333333335;87,26833333333335;7,5
40;2020-10-01;185;7000041,0;923988;09:44:03;16:18:58;118,615;118,615;5,0
40;2020-10-01;185;7000041,0;924898;09:44:03;16:18:58;107,47;107,47;1,5
40;2020-10-01;185;7000041,0;925060;09:44:03;16:18:58;114,24833333333332;114,24833333333332;2,0
40;2020-10-01;188;15607,0;925119;08:37:35;17:52:34;42,11666666666667;42,11666666666667;6,5
40;2020-10-01;188;15607,0;925120;08:37:35;17:52:34;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;188;15607,0;926108;08:37:35;17:52:34;42,11666666666667;42,11666666666667;6,0
40;2020-10-01;194;7000011,0;924154;08:55:17;15:40:09;51,57666666666667;51,57666666666667;8,0
40;2020-10-01;200;7000011,0;924154;08:55:17;15:40:09;103,15333333333334;103,15333333333334;10,0
40;2020-10-01;215 MD;1,0;923328;07:52:06;17:46:56;35,75666666666666;35,75666666666666;11,5
40;2020-10-01;246;7000032,0;922232;09:38:29;16:06:03;87,26833333333335;87,26833333333335;7,5
40;2020-10-01;246;7000032,0;925058;09:38:29;16:06:03;114,24833333333332;114,24833333333332;6,5
40;2020-10-01;246;7000032,0;925548;09:38:29;16:06:03;118,615;118,615;7,0
40;2020-10-01;249;15213,0;920825;07:04:02;16:43:40;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;249;15213,0;925120;07:04:02;16:43:40;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;249;15213,0;926106;07:04:02;16:43:40;27,591666666666665;27,591666666666665;5,0
40;2020-10-01;259;15151,0;924758;07:01:45;16:07:27;34,73166666666667;34,73166666666667;8,0
40;2020-10-01;259;15151,0;925119;07:01:45;16:07:27;42,11666666666667;42,11666666666667;6,5
40;2020-10-01;259;15151,0;926107;07:01:45;16:07:27;42,11666666666667;42,11666666666667;4,0
40;2020-10-01;294;2019,0;923841;06:19:17;16:09:52;39,43166666666666;39,43166666666666;8,0
40;2020-10-01;294;2019,0;924553;06:19:17;16:09:52;69,34166666666667;69,34166666666667;8,0
40;2020-10-01;294;2019,0;925915;06:19:17;16:09:52;56,718333333333334;56,718333333333334;8,0
40;2020-10-01;294;2019,0;926058;06:19:17;16:09:52;31,765;31,765;8,0
40;2020-10-01;296;15246,0;920227;06:54:34;16:32:41;27,048333333333336;27,048333333333336;12,0
40;2020-10-01;296;15246,0;922205;06:54:34;16:32:41;40,19333333333334;40,19333333333334;10,0
40;2020-10-01;296;15246,0;925742;06:54:34;16:32:41;27,615000000000002;27,615000000000002;10,0
40;2020-10-01;297;7000042,0;923345;07:11:26;17:02:14;116,68499999999999;116,68499999999999;36,0
40;2020-10-01;297;7000042,0;925833;07:11:26;17:02:14;51,175;38,17166666666667;12,0
40;2020-10-01;300;15343,0;923879;06:31:08;16:22:01;92,43333333333334;92,43333333333334;8,0
40;2020-10-01;300;15343,0;923988;06:31:08;16:22:01;118,615;118,615;1,0
40;2020-10-01;300;15343,0;925060;06:31:08;16:22:01;114,24833333333332;114,24833333333332;7,0
40;2020-10-01;300;15343,0;925571;06:31:08;16:22:01;102,16666666666667;102,16666666666667;5,0
40;2020-10-01;300;15343,0;925815;06:31:08;16:22:01;113,35666666666665;113,35666666666665;2,0
40;2020-10-01;301;15150,0;922232;06:13:05;16:25:01;174,5366666666667;174,5366666666667;16,0
40;2020-10-01;301;15150,0;925058;06:13:05;16:25:01;114,24833333333332;114,24833333333332;8,0
40;2020-10-01;301;15150,0;925059;06:13:05;16:25:01;114,24833333333332;114,24833333333332;8,0
40;2020-10-01;301;15150,0;926205;06:13:05;16:25:01;35,91166666666666;35,91166666666666;1,5
40;2020-10-01;307;15162,0;922157;00:27:04;23:47:21;5,973333333333333;5,973333333333333;7,0
40;2020-10-01;307;15347,0;925120;07:26:59;16:28:16;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;307;15347,0;925122;07:26:59;16:28:16;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;308;15245,0;923345;07:54:20;17:26:21;38,894999999999996;38,894999999999996;8,0
40;2020-10-01;308;15245,0;924759;07:54:20;17:26:21;37,525;37,525;7,0
40;2020-10-01;308;15245,0;925645;07:54:20;17:26:21;11,83;11,83;7,0
40;2020-10-01;308;15245,0;926122;07:54:20;17:26:21;24,59333333333333;24,59333333333333;7,0
40;2020-10-01;311;15173,0;921362;08:30:34;18:00:26;10,655;10,655;8,0
40;2020-10-01;311;15173,0;922328;08:30:34;18:00:26;24,5;24,5;16,0
40;2020-10-01;311;15173,0;926008;08:30:34;18:00:26;44,76499999999999;44,76499999999999;8,0
40;2020-10-01;312;15409,0;922746;08:11:03;17:00:11;46,63166666666667;46,63166666666667;7,0
40;2020-10-01;312;15409,0;923345;08:11:03;17:00:11;38,894999999999996;38,894999999999996;8,0
40;2020-10-01;312;15409,0;924021;08:11:03;17:00:11;17,84333333333333;17,84333333333333;7,0
40;2020-10-01;313;15486,0;923345;09:21:38;16:08:18;77,78999999999999;77,78999999999999;16,0
40;2020-10-01;313;15486,0;924946;09:21:38;16:08:18;44,641666666666666;44,641666666666666;8,0
40;2020-10-01;314;15558,0;925119;09:14:11;19:15:04;42,11666666666667;42,11666666666667;6,5
40;2020-10-01;314;15558,0;925120;09:14:11;19:15:04;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;319;7000029,0;921362;09:02:42;17:05:56;21,31;21,31;16,0
40;2020-10-01;319;7000029,0;926008;09:02:42;17:05:56;44,76499999999999;44,76499999999999;8,0
40;2020-10-01;320;15223,0;920825;07:12:12;17:42:11;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;320;15223,0;923197;07:12:12;17:42:11;33,39833333333333;33,39833333333333;5,0
40;2020-10-01;320;15223,0;925122;07:12:12;17:42:11;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;324;15615,0;921577;08:00:30;17:07:36;103,15333333333334;103,15333333333334;12,0
40;2020-10-01;324;15615,0;924154;08:00:30;17:07:36;103,15333333333334;103,15333333333334;16,0
40;2020-10-01;331;15161,0;922746;07:21:32;19:00:08;46,63166666666667;46,63166666666667;7,0
40;2020-10-01;331;15161,0;923345;07:21:32;19:00:08;38,894999999999996;38,894999999999996;7,0
40;2020-10-01;331;15161,0;924155;07:21:32;19:00:08;29,80666666666667;29,80666666666667;8,0
40;2020-10-01;331;15161,0;926171;07:21:32;19:00:08;21,973333333333336;21,973333333333336;4,0
40;2020-10-01;340;15228,0;920825;07:19:57;15:36:57;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;340;15228,0;922205;07:19:57;15:36:57;40,19333333333334;40,19333333333334;7,0
40;2020-10-01;340;15228,0;925817;07:19:57;15:36:57;40,01833333333334;40,01833333333334;1,0
40;2020-10-01;342;15515,0;920825;08:11:59;17:24:25;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;342;15515,0;922205;08:11:59;17:24:25;40,19333333333334;40,19333333333334;7,0
40;2020-10-01;342;15515,0;925120;08:11:59;17:24:25;42,11666666666667;42,11666666666667;6,5
40;2020-10-01;343;15431,0;920512;08:21:24;17:44:03;46,085;46,085;5,0
40;2020-10-01;343;15431,0;922697;08:21:24;17:44:03;40,34166666666667;40,34166666666667;8,0
40;2020-10-01;343;15431,0;923345;08:21:24;17:44:03;38,894999999999996;38,894999999999996;8,0
40;2020-10-01;343;15431,0;924155;08:21:24;17:44:03;29,80666666666667;29,80666666666667;8,0
40;2020-10-01;343;7000052,0;922157;01:16:18;00:37:44;5,973333333333333;5,973333333333333;7,0
40;2020-10-01;344;15103,0;921362;08:16:20;12:34:36;21,31;21,31;16,0
40;2020-10-01;346;15450,0;924154;07:13:12;17:06:13;154,73000000000002;154,73000000000002;24,0
