192
A_2_5_1 85
A_2_5_2 160
A_2_5_3 105
A_2_5_4 105
A_2_10_1 50
A_2_10_2 150
A_2_10_3 220
A_2_10_4 150
A_2_15_1 215
A_2_15_2 320
A_2_15_3 205
A_2_15_4 255
A_2_20_1 255
A_2_20_2 270
A_2_20_3 260
A_2_20_4 380
A_3_5_1 205
A_3_5_2 115
A_3_5_3 125
A_3_5_4 190
A_3_10_1 205
A_3_10_2 230
A_3_10_3 305
A_3_10_4 300
A_3_15_1 330
A_3_15_2 425
A_3_15_3 330
A_3_15_4 475
A_3_20_1 345
A_3_20_2 415
A_3_20_3 360
A_3_20_4 480
A_4_5_1 140
A_4_5_2 150
A_4_5_3 165
A_4_5_4 230
A_4_10_1 310
A_4_10_2 370
A_4_10_3 445
A_4_10_4 285
A_4_15_1 545
A_4_15_2 610
A_4_15_3 450
A_4_15_4 515
A_4_20_1 585
A_4_20_2 440
A_4_20_3 425
A_4_20_4 500
A_5_5_1 200
A_5_5_2 200
A_5_5_3 220
A_5_5_4 175
A_5_10_1 350
A_5_10_2 345
A_5_10_3 285
A_5_10_4 380
A_5_15_1 590
A_5_15_2 695
A_5_15_3 395
A_5_15_4 520
A_5_20_1 760
A_5_20_2 645
A_5_20_3 645
A_5_20_4 560
B_6_20_1 805
B_6_20_2 855
B_6_20_3 760
B_6_20_4 705
B_6_30_1 1300
B_6_30_2 1140
B_6_30_3 1060
B_6_30_4 1000
B_6_40_1 1545
B_6_40_2 1635
B_6_40_3 1570
B_6_40_4 1450
B_6_50_1 1890
B_6_50_2 2250
B_6_50_3 1740
B_6_50_4 2080
B_8_20_1 935
B_8_20_2 865
B_8_20_3 655
B_8_20_4 820
B_8_30_1 1085
B_8_30_2 1115
B_8_30_3 1155
B_8_30_4 1320
B_8_40_1 1665
B_8_40_2 1415
B_8_40_3 1495
B_8_40_4 1730
B_8_50_1 1980
B_8_50_2 1935
B_8_50_3 1960
B_8_50_4 1835
B_10_20_1 805
B_10_20_2 825
B_10_20_3 730
B_10_20_4 765
B_10_30_1 1215
B_10_30_2 1355
B_10_30_3 1210
B_10_30_4 1235
B_10_40_1 1475
B_10_40_2 1580
B_10_40_3 1605
B_10_40_4 1455
B_10_50_1 2265
B_10_50_2 1900
B_10_50_3 2005
B_10_50_4 1925
B_12_20_1 770
B_12_20_2 770
B_12_20_3 945
B_12_20_4 850
B_12_30_1 1320
B_12_30_2 1185
B_12_30_3 950
B_12_30_4 1185
B_12_40_1 1475
B_12_40_2 1510
B_12_40_3 1640
B_12_40_4 1550
B_12_50_1 1755
B_12_50_2 2000
B_12_50_3 1825
B_12_50_4 1940
B_14_20_1 830
B_14_20_2 695
B_14_20_3 840
B_14_20_4 755
B_14_30_1 1190
B_14_30_2 1370
B_14_30_3 1005
B_14_30_4 1205
B_14_40_1 1395
B_14_40_2 1725
B_14_40_3 1550
B_14_40_4 1705
B_14_50_1 2285
B_14_50_2 2015
B_14_50_3 2095
B_14_50_4 2095
B_16_20_1 905
B_16_20_2 805
B_16_20_3 915
B_16_20_4 875
B_16_30_1 1305
B_16_30_2 1175
B_16_30_3 1105
B_16_30_4 1090
B_16_40_1 1340
B_16_40_2 1580
B_16_40_3 1600
B_16_40_4 1615
B_16_50_1 2090
B_16_50_2 1930
B_16_50_3 2010
B_16_50_4 1980
B_18_20_1 820
B_18_20_2 740
B_18_20_3 775
B_18_20_4 840
B_18_30_1 1080
B_18_30_2 1205
B_18_30_3 1155
B_18_30_4 1125
B_18_40_1 1670
B_18_40_2 1635
B_18_40_3 1610
B_18_40_4 1655
B_18_50_1 1795
B_18_50_2 1930
B_18_50_3 2005
B_18_50_4 1795
B_20_20_1 875
B_20_20_2 770
B_20_20_3 980
B_20_20_4 765
B_20_30_1 1250
B_20_30_2 1325
B_20_30_3 1205
B_20_30_4 1245
B_20_40_1 1695
B_20_40_2 1725
B_20_40_3 1540
B_20_40_4 1530
B_20_50_1 2075
B_20_50_2 1825
B_20_50_3 1825
B_20_50_4 1890
