instance;Del;Order;Cust;Driver;Load;ArrDock;FinDock;ArrDel;Waiting;StartDel;FinDel;ELT;LTW;Cap;rank;Prev;TravelToDock;Dock;TravelToDel;Next;Depot
20201003;97;0;0;20;3;467.763;470.163;540;0;540;546;540;2140;8;100000;40;47.505;182;59.8367;41;1
20201003;98;1;1;4;6;525.363;530.163;600;0;600;612;600;2200;8;100000;8;0;183;59.8367;9;1
20201003;99;2;2;5;6.5;648.742;653.942;720;0;720;733;720;2320;8;100000;10;0;184;56.0583;11;1
20201003;100;3;3;23;8;482.542;488.942;555;0;555;571;555;2155;8;100000;46;47.505;185;56.0583;227;1
20201003;101;3;3;24;1.5;503.742;504.942;571;0;571;574;555;2155;8;100000;48;47.505;186;56.0583;226;1
20201003;102;4;4;2;8;380;386.4;455.727;-35.7267;455.727;471.727;420;2020;8;100000;4;0;187;59.3267;5;1
20201003;103;4;4;3;2;419.073;420.673;490;-18.2733;490;494;420;2020;8;100000;6;0;188;59.3267;192;1
20201003;104;5;5;0;7;365;370.6;443.775;-23.775;443.775;457.775;420;2020;8;100000;0;0;189;63.175;193;1
20201003;105;5;5;1;8;395.425;401.825;475;-17.225;475;491;420;2020;8;100000;2;0;190;63.175;3;1
20201003;106;6;6;25;8;557.542;563.942;630;0;630;646;630;2230;8;100000;50;47.505;191;56.0583;222;1
20201003;107;6;6;3;8;573.542;579.942;646;0;646;662;630;2230;8;100000;103;62.6817;192;56.0583;7;1
20201003;108;6;6;0;1;614.942;615.942;682;-20;682;684;630;2230;8;100000;104;68.51;193;56.0583;1;1
20201003;109;7;7;7;8;582.2;589.057;600;0;600;616;600;2200;8;100000;154;5.31833;194;0.943333;251;2
20201003;110;7;7;8;8;598.2;605.057;616;0;616;632;600;2200;8;100000;155;5.31833;195;0.943333;252;2
20201003;111;7;7;10;8;614.2;621.057;632;0;632;648;600;2200;8;100000;157;5.31833;196;0.943333;253;2
20201003;112;7;7;9;8;630.2;637.057;648;0;648;664;600;2200;8;100000;156;5.31833;197;0.943333;254;2
20201003;113;7;7;13;8;646.2;653.057;664;0;664;680;600;2200;8;100000;160;5.31833;198;0.943333;255;2
20201003;114;7;7;12;8;662.2;669.057;680;0;680;696;600;2200;8;100000;159;5.31833;199;0.943333;256;2
20201003;115;7;7;11;8;678.2;685.057;696;0;696;712;600;2200;8;100000;158;5.31833;200;0.943333;257;2
20201003;116;7;7;6;8;694.2;701.057;712;0;712;728;600;2200;8;100000;161;5.31833;201;0.943333;258;2
20201003;117;7;7;16;8;710.2;717.057;728;0;728;744;600;2200;8;100000;163;5.31833;202;0.943333;259;2
20201003;118;7;7;14;8;726.2;733.057;744;0;744;760;600;2200;8;100000;162;5.31833;203;0.943333;208;2
20201003;119;7;7;17;8;742.2;749.057;760;0;760;776;600;2200;8;100000;165;5.31833;204;0.943333;260;2
20201003;120;7;7;15;8;758.2;765.057;776;0;776;792;600;2200;8;100000;164;5.31833;205;0.943333;261;2
20201003;121;7;7;13;8;774.2;781.057;792;0;792;808;600;2200;8;100000;170;5.31833;206;0.943333;262;2
20201003;122;7;7;9;8;790.2;797.057;808;0;808;824;600;2200;8;100000;169;5.31833;207;0.943333;263;2
20201003;123;7;7;14;6;807.914;813.057;824;0;824;836;600;2200;8;100000;118;0.943333;208;0.943333;264;2
20201003;124;8;8;18;1;371.923;372.923;420;0;420;422;420;2020;8;100000;36;0;209;37.0767;37;0
20201003;125;9;8;19;8;380;385.333;432.41;-10.41;432.41;448.41;420;2020;8;100000;38;0;210;37.0767;39;0
20201003;126;9;8;26;12;410;418;465.077;-16.6667;465.077;489.077;420;2020;12;100000;52;0;211;37.0767;215;0
20201003;127;9;8;27;12;433.923;441.923;489;0.0766667;489.077;513.077;420;2020;12;100000;54;0;212;37.0767;216;0
20201003;128;9;8;28;12;475;483;530.077;-17;530.077;554.077;420;2020;12;100000;56;0;213;37.0767;217;0
20201003;129;9;8;22;8;501.59;506.923;554;0.0766667;554.077;570.077;420;2020;8;100000;44;0;214;37.0767;45;0
20201003;130;9;8;26;12;534.628;542.628;589.705;-19.6283;589.705;613.705;420;2020;12;100000;126;35.5517;215;37.0767;219;0
